nombre,provincia,bloque,email
"Abad, Maximiliano",Buenos Aires,UCR - UNIÓN CÍVICA RADICAL,maximiliano.abad@senado.gob.ar
"Abdala, Bartolomé Esteban",San Luis,LA LIBERTAD AVANZA,bartolome.abdala@senado.gob.ar
"Almeida, Romina María",Entre Ríos,LA LIBERTAD AVANZA,romina.almeida@senado.gob.ar
"Alvarez Rivero, Carmen",Córdoba,LA LIBERTAD AVANZA,carmen.alvarez@senado.gob.ar
"Andrada, Guillermo Eduardo",Catamarca,CONVICCIÓN FEDERAL,guillermo.andrada@senado.gob.ar
"Arce, Carlos Omar",Misiones,ENCUENTRO MISIONERO,carlos.arce@senado.gob.ar
"Arrascaeta, Ivanna Marcela",San Luis,LA LIBERTAD AVANZA,ivanna.arrascaeta@senado.gob.ar
"Atauche, Ezequiel",Jujuy,LA LIBERTAD AVANZA,ezequiel.atauche@senado.gob.ar
"Avila, Beatriz Luisa",Tucumán,INDEPENDENCIA,beatriz.avila@senado.gob.ar
"Bahl, Adán Humberto",Entre Ríos,JUSTICIALISTA,adan.bahl@senado.gob.ar
"Bedia, Vilma Facunda",Jujuy,LA LIBERTAD AVANZA,vilma.bedia@senado.gob.ar
"Benegas Lynch, Joaquín Alberto",Entre Ríos,LA LIBERTAD AVANZA,joaquin.benegaslynch@senado.gob.ar
"Bensusán, Daniel Pablo",La Pampa,JUSTICIALISTA,daniel.bensusan@senado.gob.ar
"Bullrich, Patricia",Ciudad Autónoma De Buenos Aires,LA LIBERTAD AVANZA,patricia.bullrich@senado.gob.ar
"Capitanich, Jorge Milton",Chaco,JUSTICIALISTA,jorge.capitanich@senado.gob.ar
"Carambia, José María",Santa Cruz,MOVERE SANTA CRUZ,jose.carambia@senado.gob.ar
"Cervi, Mario Pablo",Neuquén,LA LIBERTAD AVANZA,mario.cervi@senado.gob.ar
"Corpacci, Lucía Benigna",Catamarca,JUSTICIALISTA,lucia.corpacci@senado.gob.ar
"Corroza, Julieta",Neuquén,LA NEUQUINIDAD,julieta.corroza@senado.gob.ar
"Coto, Agustín Pedro","Tierra Del Fuego, Antártida E Islas Del Atlántico Sur",LA LIBERTAD AVANZA,agustin.coto@senado.gob.ar
"Cristina, Andrea Marcela",Chubut,FRENTE PRO,andrea.cristina@senado.gob.ar
"De Pedro, Eduardo Enrique",Buenos Aires,JUSTICIALISTA,eduardo.depedro@senado.gob.ar
"Di Tullio, Juliana",Buenos Aires,JUSTICIALISTA,juliana.ditullio@senado.gob.ar
"Espínola, Carlos Mauricio",Corrientes,PROVINCIAS UNIDAS,carlos.espinola@senado.gob.ar
"Fama, Flavio Sergio",Catamarca,UCR - UNIÓN CÍVICA RADICAL,flavio.fama@senado.gob.ar
"Fernández Sagasti, Anabel",Mendoza,JUSTICIALISTA,anabel.fernandezsagasti@senado.gob.ar
"Fullone, Enzo Paolo",Río Negro,LA LIBERTAD AVANZA,enzo.fullone@senado.gob.ar
"Gadano, Natalia Elena",Santa Cruz,MOVERE SANTA CRUZ,natalia.gadano@senado.gob.ar
"Galaretto, Eduardo Horacio",Santa Fe,UCR - UNIÓN CÍVICA RADICAL,eduardo.galaretto@senado.gob.ar
"Giménez Navarro, María Celeste",San Juan,JUSTICIALISTA,mcgimeneznavarro@senado.gob.ar
"Godoy, Juan Cruz",Chaco,LA LIBERTAD AVANZA,juancruz.godoy@senado.gob.ar
